Table with row headers in column A and column headers in row 5.;;;;;;;;;
Table A-2.  Annual Inmigration, Outmigration, Net Migration, and Movers from Abroad for Regions:  1981-2017;;;;;;;;;
(Numbers in thousands.);;;;;;;;;
(leading dot indicates sub-part);;;;;;;;;
Mobility period and type of migration;Northeast;Midwest;South;West;;;;;
;;;;;;;;;
2016-2017;;;;;;;;;
.Inmigrants;405;544;1050;696;;;;;
.Outmigrants;606;569;1006;515;;;;;
.Net internal migration;-200*;-25;44;181*;;;;;
.Movers from abroad;223;150;504;379;;;;;
.Net migration (including abroad);23;125;548*;560*;;;;;
;;;;;;;;;
2015-2016;;;;;;;;;
.Inmigrants;337;442;940;719;;;;;
.Outmigrants;553;513;901;472;;;;;
.Net internal migration;-216*;-71;39;247*;;;;;
.Movers from abroad;266;163;497;355;;;;;
.Net migration (including abroad);50;92;536*;602*;;;;;
;;;;;;;;;
2014-2015;;;;;;;;;
.Inmigrants;403;463;1.010;562;;;;;
.Outmigrants;504;575;740;620;;;;;
.Net internal migration;-101*;-112*;271*;-57;;;;;
.Movers from abroad;314;357;589;413;;;;;
.Net migration (including abroad);213*;245*;860*;356*;;;;;
;;;;;;;;;
2013-2014 (98,000 address file)/1;;;;;;;;;
.Inmigrants;374;564;941;580;;;;;
.Outmigrants;469;566;755;670;;;;;
.Net internal migration;-94;-2;186*;-90;;;;;
.Movers from abroad;233;142;447;311;;;;;
.Net migration (including abroad);139*;140*;633*;221*;;;;;
;;;;;;;;;
2012-2013;;;;;;;;;
.Inmigrants;234;526;1102;586;;;;;
.Outmigrants;399;707;720;621;;;;;
.Net internal migration;-165*;-182*;382*;-36;;;;;
.Movers from abroad;130;210;400;296;;;;;
.Net migration (including abroad);-35;28;782*;260*;;;;;
;;;;;;;;;
2011-2012;;;;;;;;;
.Inmigrants;273;563;1064;839;;;;;
.Outmigrants;598;663;901;579;;;;;
.Net internal migration;-324*;-99;164*;260*;;;;;
.Movers from abroad;316;126;349;363;;;;;
.Net migration (including abroad);-8;27;513*;623*;;;;;
;;;;;;;;;
2010-2011 (2010 controls)/2;;;;;;;;;
.Inmigrants;242;543;1062;602;;;;;
.Outmigrants;528;487;822;611;;;;;
.Net internal migration;-286*;55;240*;-9;;;;;
.Movers from abroad;196;175;381;333;;;;;
.Net migration (including abroad);-90*;230*;621*;324*;;;;;
;;;;;;;;;
2010-2011 (2000 controls)/3;;;;;;;;;
.Inmigrants;247;537;1.056;616;;;;;
.Outmigrants;524;493;831;608;;;;;
.Net internal migration;-277*;43;225*;9;;;;;
.Movers from abroad;189;172;379;319;;;;;
.Net migration (including abroad);-88;215*;604*;328*;;;;;
;;;;;;;;;
2009-2010 (2010 controls)/2;;;;;;;;;
.Inmigrants;248;415;899;617;;;;;
.Outmigrants;376;633;692;477;;;;;
.Net internal migration;-128*;-218*;207*;139*;;;;;
.Movers from abroad;140;112;403;331;;;;;
.Net migration (including abroad);12;-106;610*;470*;;;;;
;;;;;;;;;
2009-2010 (2000 controls)/3;;;;;;;;;
.Inmigrants;246;414;897;631;;;;;
.Outmigrants;376;637;698;478;;;;;
.Net internal migration;-130*;-223*;200*;153*;;;;;
.Movers from abroad;134;106;388;317;;;;;
.Net migration (including abroad);4;-117*;588*;470*;;;;;
;;;;;;;;;
2008-2009;;;;;;;;;
.Inmigrants;236;466;738;478;;;;;
.Outmigrants;368;529;591;431;;;;;
.Net internal migration;-132*;-62;147*;47;;;;;
.Movers from abroad;184;201;396;306;;;;;
.Net migration (including abroad);52;139*;543*;353*;;;;;
;;;;;;;;;
2007-2008;;;;;;;;;
.Inmigrants;409;464;1.038;569;;;;;
.Outmigrants;531;560;773;614;;;;;
.Net internal migration;-123*;-97;265*;-45;;;;;
.Movers from abroad;162;242;344;398;;;;;
.Net migration (including abroad);39;145*;609*;352*;;;;;
;;;;;;;;;
2006-2007;;;;;;;;;
.Inmigrants;313;588;1.032;515;;;;;
.Outmigrants;594;528;725;601;;;;;
.Net internal migration;-281*;60;307*;-86;;;;;
.Movers from abroad;218;178;458;336;;;;;
.Net migration (including abroad);-63;238*;765*;250*;;;;;
;;;;;;;;;
2005-2006;;;;;;;;;
.Inmigrants;328;568;1.197;648;;;;;
.Outmigrants;609;702;894;536;;;;;
.Net internal migration;-281*;-134*;303*;112*;;;;;
.Movers from abroad;199;176;538;383;;;;;
.Net migration (including abroad);-81;42;841*;495*;;;;;
;;;;;;;;;
2004-2005;;;;;;;;;
.Inmigrants;362;679;1.335;718;;;;;
.Outmigrants;774;758;907;655;;;;;
.Net internal migration;-411*;-79;428*;63;;;;;
.Movers from abroad;323;259;685;597;;;;;
.Net migration (including abroad);-88;180*;1113*;660*;;;;;
;;;;;;;;;
2003-2004;;;;;;;;;
.Inmigrants;426;559;1.163;500;;;;;
.Outmigrants;640;670;744;593;;;;;
.Net internal migration;-215*;-111;419*;-93;;;;;
.Movers from abroad;205;203;455;410;;;;;
.Net migration (including abroad);-10;92;1,127*;317*;;;;;
;;;;;;;;;
2002-2003;;;;;;;;;
.Inmigrants;385;575;1.016;719;;;;;
.Outmigrants;484;675;892;644;;;;;
.Net internal migration;-99;-100;124;75;;;;;
.Movers from abroad;161;179;550;380;;;;;
.Net migration (including abroad);62;79;674*;455*;;;;;
;;;;;;;;;
2001-2002;;;;;;;;;
.Inmigrants;445;530;1.282;717;;;;;
.Outmigrants;665;755;889;665;;;;;
.Net internal migration;-220*;-225*;392*;52;;;;;
.Movers from abroad;269;158;553;583;;;;;
.Net migration (including abroad);49;-67;945*;635*;;;;;
;;;;;;;;;
2000-2001 (2000 controls)/3;;;;;;;;;
.Inmigrants;483;522;865;606;;;;;
.Outmigrants;379;624;862;611;;;;;
.Net internal migration;104;-101;3;-6;;;;;
.Movers from abroad;337;254;600;565;;;;;
.Net migration (including abroad);          441*;153;          603*;      559*;;;;;
;;;;;;;;;
2000-2001 (SCHIP, 2000 controls)/4;;;;;;;;;
.Inmigrants;467;585;934;647;;;;;
.Outmigrants;442;639;895;658;;;;;
.Net internal migration;25;-54;39;-11;;;;;
.Movers from abroad;356;248;605;548;;;;;
.Net migration (including abroad);         381*;           194*;          644*;      537*;;;;;
;;;;;;;;;
2000-2001 (1990 controls)/5;;;;;;;;;
.Inmigrants;471;516;858;612;;;;;
.Outmigrants;372;627;860;598;;;;;
.Net internal migration;99;-111;-2;14;;;;;
.Movers from abroad;319;238;556;534;;;;;
.Net migration (including abroad);         418*;127;          554*;     548*;;;;;
;;;;;;;;;
1999-2000;;;;;;;;;
.Inmigrants;363;722;1.258;763;;;;;
.Outmigrants;615;640;1.031;820;;;;;
.Net internal migration;-252*;82;227*;-57;;;;;
.Movers from abroad;292;238;612;604;;;;;
.Net migration (including abroad);40;320*;839*;547*;;;;;
;;;;;;;;;
1998-1999;;;;;;;;;
.Inmigrants;461;735;1.339;743;;;;;
.Outmigrants;624;907;1.068;679;;;;;
.Net internal migration;-163*;-171*;271*;63;;;;;
.Movers from abroad;198;221;544;466;;;;;
.Net migration (including abroad);35;50;815*;530*;;;;;
;;;;;;;;;
1997-1998;;;;;;;;;
.Inmigrants;504;873;1.335;660;;;;;
.Outmigrants;708;753;1.105;806;;;;;
.Net internal migration;-203*;120;230*;-146;;;;;
.Movers from abroad;247;170;416;370;;;;;
.Net migration (including abroad);17;290*;646*;224*;;;;;
;;;;;;;;;
1996-1997;;;;;;;;;
.Inmigrants;481;661;1.338;688;;;;;
.Outmigrants;600;814;947;806;;;;;
.Net internal migration;-119*;-154;391*;-118;;;;;
.Movers from abroad;239;169;445;450;;;;;
.Net migration (including abroad);120;15;836*;332;;;;;
;;;;;;;;;
1995-1996;;;;;;;;;
.Inmigrants;441;842;1.284;792;;;;;
.Outmigrants;675;775;1.134;775;;;;;
.Net internal migration;-234*;68;150;16;;;;;
.Movers from abroad;285;130;470;476;;;;;
.Net migration (including abroad);51;198*;620*;492*;;;;;
;;;;;;;;;
1994-1995/6;;;;;;;;;
;;;;;;;;;
1993-1994;;;;;;;;;
.Inmigrants;348;706;1.336;746;;;;;
.Outmigrants;676;737;960;763;;;;;
.Net internal migration;-328*;-31;376*;-17;;;;;
.Movers from abroad;267;132;451;396;;;;;
.Net migration (including abroad);-61;101;827*;379*;;;;;
;;;;;;;;;
1992-1993;;;;;;;;;
.Inmigrants;313;841;1.145;769;;;;;
.Outmigrants;647;608;1.044;770;;;;;
.Net internal migration;-334*;233*;101;-1;;;;;
.Movers from abroad;230;198;513;364;;;;;
.Net migration (including abroad);-104;431*;614*;363*;;;;;
;;;;;;;;;
1991-1992;;;;;;;;;
.Inmigrants;409;816;1.305;755;;;;;
.Outmigrants;701;878;1.081;626;;;;;
.Net internal migration;-292*;-62;224*;129;;;;;
.Movers from abroad;255;175;383;442;;;;;
.Net migration (including abroad);-37;113;607*;571*;;;;;
;;;;;;;;;
1990-1991;;;;;;;;;
.Inmigrants;346;782;1.421;835;;;;;
.Outmigrants;932;797;987;668;;;;;
.Net internal migration;-585*;-15;433*;167;;;;;
.Movers from abroad;209;208;351;617;;;;;
.Net migration (including abroad);-376*;193*;784*;784*;;;;;
;;;;;;;;;
1989-1990;;;;;;;;;
.Inmigrants;461;908;1.428;964;;;;;
.Outmigrants;758;1.024;1.198;781;;;;;
.Net internal migration;-297*;-116;230*;183;;;;;
.Movers from abroad;328;169;500;562;;;;;
.Net migration (including abroad);31;53;730*;745*;;;;;
;;;;;;;;;
1988-1989;;;;;;;;;
.Inmigrants;370;777;1.318;791;;;;;
.Outmigrants;714;703;1.071;768;;;;;
.Net internal migration;-344*;74;247*;23;;;;;
.Movers from abroad;292;170;375;629;;;;;
.Net migration (including abroad);-52;244*;622*;652*;;;;;
;;;;;;;;;
1987-1988;;;;;;;;;
.Inmigrants;430;715;1.338;613;;;;;
.Outmigrants;671;818;886;721;;;;;
.Net internal migration;-241*;-103;452*;-108;;;;;
.Movers from abroad;261;146;414;379;;;;;
.Net migration (including abroad);20;43;866*;271*;;;;;
;;;;;;;;;
1986-1987;;;;;;;;;
.Inmigrants;398;858;1.374;916;;;;;
.Outmigrants;732;969;1.095;750;;;;;
.Net internal migration;-334*;-111;279*;166;;;;;
.Movers from abroad;214;193;277;458;;;;;
.Net migration (including abroad);-120;82;556*;624*;;;;;
;;;;;;;;;
1985-1986;;;;;;;;;
.Inmigrants;502;1.011;1.355;910;;;;;
.Outmigrants;752;996;1.320;710;;;;;
.Net internal migration;-250*;15;35;200*;;;;;
.Movers from abroad;198;158;342;502;;;;;
.Net migration (including abroad);-52;173;377*;702*;;;;;
;;;;;;;;;
1984-1985;;;;;;;;;
.Inmigrants;482;842;1.329;994;;;;;
.Outmigrants;691;1.053;1.169;734;;;;;
.Net internal migration;-209*;-211*;160;260;;;;;
.Movers from abroad;228;168;532;499;;;;;
.Net migration (including abroad);19;-43;692*;759*;;;;;
;;;;;;;;;
1983-1984;;;;;;;;;
.Inmigrants;487;820;1.399;834;;;;;
.Outmigrants;578;1.102;973;887;;;;;
.Net internal migration;-91;-282*;426*;-53;;;;;
.Movers from abroad;213;141;383;341;;;;;
.Net migration (including abroad);122;-141;809*;288*;;;;;
;;;;;;;;;
1982-1983;;;;;;;;;
.Inmigrants;439;661;1.211;880;;;;;
.Outmigrants;625;947;973;645;;;;;
.Net internal migration;-186*;-286*;238*;235*;;;;;
.Movers from abroad;192;149;323;315;;;;;
.Net migration (including abroad);6;-137;561*;550*;;;;;
;;;;;;;;;
1981-1982;;;;;;;;;
.Inmigrants;473;793;1.482;931;;;;;
.Outmigrants;685;1.163;1.012;819;;;;;
.Net internal migration;-212*;-370*;470*;112;;;;;
.Movers from abroad;229;134;401;324;;;;;
.Net migration (including abroad);17;-236*;871*;436*;;;;;
;;;;;;;;;
1980-1981;;;;;;;;;
.Inmigrants;464;650;1.377;871;;;;;
.Outmigrants;706;1.056;890;710;;;;;
.Net internal migration;-242*;-406*;487*;161;;;;;
.Movers from abroad;207;180;412;514;;;;;
.Net migration (including abroad);-35;-226*;899*;675*;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;